id,question,expected_answer,type,level,source
HQA01,What government position was held by the woman who portrayed Corliss Archer in the film Kiss and Tell?,Chief of Protocol,bridge,hard,"HotpotQA distractor validation set (Yang et al., 2018)"
HQA02,"What science fantasy young adult series, told in first person, has a set of companion books narrating the stories of enslaved worlds and alien species?",Animorphs,bridge,hard,"HotpotQA distractor validation set (Yang et al., 2018)"
HQA03,"The director of the romantic comedy ""Big Stone Gap"" is based in what New York city?","Greenwich Village, New York City",bridge,hard,"HotpotQA distractor validation set (Yang et al., 2018)"
HQA04,2014 S/S is the debut album of a South Korean boy group that was formed by who?,YG Entertainment,bridge,hard,"HotpotQA distractor validation set (Yang et al., 2018)"
HQA05,Who was known by his stage name Aladin and helped organizations improve their performance as a consultant?,Eenasul Fateh,bridge,hard,"HotpotQA distractor validation set (Yang et al., 2018)"
HQA06,The arena where the Lewiston Maineiacs played their home games can seat how many people?,"3,677 seated",bridge,hard,"HotpotQA distractor validation set (Yang et al., 2018)"
HQA07,"Who is older, Annie Morton or Terry Richardson?",Terry Richardson,bridge,hard,"HotpotQA distractor validation set (Yang et al., 2018)"
HQA08,"What is the name of the fight song of the university whose main campus is in Lawrence, Kansas and whose branch campuses are in the Kansas City metropolitan area?",Kansas Song,bridge,hard,"HotpotQA distractor validation set (Yang et al., 2018)"
HQA09,"What screenwriter with credits for ""Evolution"" co-wrote a film starring Nicolas Cage and Téa Leoni?",David Weissman,bridge,hard,"HotpotQA distractor validation set (Yang et al., 2018)"
HQA10,What year did Guns N Roses perform a promo for a movie starring Arnold Schwarzenegger as a former New York Police detective?,1999,bridge,hard,"HotpotQA distractor validation set (Yang et al., 2018)"
HQA11,The football manager who recruited David Beckham managed Manchester United during what timeframe?,from 1986 to 2013,bridge,hard,"HotpotQA distractor validation set (Yang et al., 2018)"
HQA12,Brown State Fishing Lake is in a country that has a population of how many inhabitants ?,"9,984",bridge,hard,"HotpotQA distractor validation set (Yang et al., 2018)"
HQA13,The Vermont Catamounts men's soccer team currently competes in a conference that was formerly known as what from 1988 to 1996?,the North Atlantic Conference,bridge,hard,"HotpotQA distractor validation set (Yang et al., 2018)"
HQA14,Roger O. Egeberg was Assistant Secretary for Health and Scientific Affairs during the administration of a president that served during what years?,1969 until 1974,bridge,hard,"HotpotQA distractor validation set (Yang et al., 2018)"
HQA15,Which other Mexican Formula One race car driver has held the podium besides the Force India driver born in 1990?,Pedro Rodríguez,bridge,hard,"HotpotQA distractor validation set (Yang et al., 2018)"
HQA16,This singer of A Rather Blustery Day also voiced what hedgehog?,Sonic,bridge,hard,"HotpotQA distractor validation set (Yang et al., 2018)"
HQA17,"Aside from the Apple Remote, what other device can control the program Apple Remote was originally designed to interact with?",keyboard function keys,bridge,hard,"HotpotQA distractor validation set (Yang et al., 2018)"
HQA18,What was the father of Kasper Schmeichel voted to be by the IFFHS in 1992?,World's Best Goalkeeper,bridge,hard,"HotpotQA distractor validation set (Yang et al., 2018)"
HQA19,Who was the writer of These Boots Are Made for Walkin' and who died in 2007?,Barton Lee Hazlewood,bridge,hard,"HotpotQA distractor validation set (Yang et al., 2018)"
HQA20,"The 2011–12 VCU Rams men's basketball team, led by third year head coach Shaka Smart, represented Virginia Commonwealth University which was founded in what year?",1838,bridge,hard,"HotpotQA distractor validation set (Yang et al., 2018)"
